"Date","App","Transaction type","Offer","Country/region","Currency","Transaction amount","Store fee","App proceeds","App proceeds(JPY)","Settled","Payment date"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","CA","CAD","3.99","1.20","2.79","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","US","USD","3.99","1.20","2.79","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","QA","QAR","10.99","3.30","7.69","","No","N/A"
"2/4/2013","Photo Locker","In-store purchase","N/A","GR","EUR","1.73","0.52","1.21","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","TH","THB","90.00","27.00","63.00","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","AT","EUR","1.47","0.44","1.03","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","GB","GBP","2.43","0.73","1.70","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","US","USD","1.99","0.60","1.39","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","AU","AUD","3.99","1.20","2.79","","No","N/A"
"2/4/2013","My Youtube Downloader","Reversal","N/A","AR","ARS","-15.99","-4.80","-11.19","","No","N/A"
"2/4/2013","Photo Locker","In-store purchase","N/A","BH","BHD","0.890","0.267","0.623","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","CH","CHF","3.50","1.05","2.45","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","AU","AUD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","VE","VEF","8.49","2.55","5.94","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
"2/4/2013","Photo Locker","In-store purchase","N/A","JP","JPY","200","60","140","","No","N/A"
"2/4/2013","My Computer+","Reversal","N/A","AU","AUD","-2.99","-0.90","-2.09","","No","N/A"
"2/4/2013","Youtube Music","In-store purchase","N/A","US","USD","2.49","0.75","1.74","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","GB","GBP","1.21","0.36","0.85","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","IT","EUR","1.47","0.44","1.03","","No","N/A"
"2/4/2013","Youtube Education","In-store purchase","N/A","US","USD","3.99","1.20","2.79","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","FR","EUR","2.86","0.86","2.00","","No","N/A"
"2/4/2013","iTube Downloader","In-store purchase","N/A","IT","EUR","1.47","0.44","1.03","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","JP","JPY","300","90","210","","No","N/A"
"2/4/2013","Photo Locker","In-store purchase","N/A","US","USD","2.49","0.75","1.74","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","AU","AUD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","CO","COP","7,000","2,100","4,900","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Youtube Downloader","In-store purchase","N/A","CO","COP","7,000","2,100","4,900","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","US","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","Photo Locker","In-store purchase","N/A","JP","JPY","200","60","140","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","MV","USD","2.99","0.90","2.09","","No","N/A"
"2/4/2013","My Computer+","In-store purchase","N/A","JP","JPY","240","72","168","","No","N/A"
